Model,Seed_42_Recall@10,Seed_101_Recall@10,Seed_2024_Recall@10,Mean_Recall@10,Std_Recall@10,Mean_NDCG@10,Std_NDCG@10,Mean_Precision@10,Mean_HitRate@10,Bootstrap_95CI_Recall@10
Implicit ALS / MF,0.0262,0.0248,0.027,0.026,0.0011,0.0435,0.0011,0.0378,0.1879,"[0.0238, 0.0282]"
Item-Item CF,0.0167,0.0167,0.0167,0.0167,0.0,0.0381,0.0,0.035,0.1538,"[0.0147, 0.0187]"
Popularity,0.0146,0.0146,0.0146,0.0146,0.0,0.0302,0.0,0.0284,0.177,"[0.0126, 0.0166]"
Two-Tower Neural Rec,0.0211,0.0223,0.0207,0.0214,0.0008,0.05,0.0002,0.0398,0.216,"[0.0194, 0.0233]"
