Sampling_Policy,Negatives_Per_Positive,Sampling_Strategy,Total_Training_Pairs,Positive_Ratio,Precision@10,Recall@10,HitRate@10,PR-AUC,Training_Time_Sec
N_neg=10 (Low ratio),10,uniform,69901,85.7%,0.205,0.0994,0.2466,0.8629,11.25
N_neg=30 (Standard),30,uniform,89901,66.6%,0.189,0.0915,0.246,0.6996,12.0
N_neg=50 (High ratio),50,uniform,109901,54.5%,0.1952,0.0935,0.2447,0.6169,13.21
N_neg=100 (Ultra ratio),100,uniform,159901,37.5%,0.1885,0.0908,0.2466,0.4747,17.5
N_neg=30 (Popularity-Biased Negatives),30,popularity_biased,89901,66.6%,0.1927,0.0935,0.2466,0.6822,12.39
